Episode  3930 | Won: False | Reward: -505.0 | Epsilon: 0.4760
Episode  3940 | Won: False | Reward: -538.0 | Epsilon: 0.4747
Episode  3950 | Won:  True | Reward:  501.0 | Epsilon: 0.4733
Episode  3960 | Won: False | Reward: -507.0 | Epsilon: 0.4720
Episode  3970 | Won: False | Reward: -513.0 | Epsilon: 0.4707
Episode  3980 | Won: False | Reward: -508.0 | Epsilon: 0.4693
Episode  3990 | Won: False | Reward: -512.0 | Epsilon: 0.4680
Episode  4000 | Won: False | Reward: -506.0 | Epsilon: 0.4667
Episode  4010 | Won: False | Reward: -519.0 | Epsilon: 0.4653
Episode  4020 | Won: False | Reward: -510.0 | Epsilon: 0.4640
